labels,dim2,dim6,dim7,dim8,Name3Class
r155,0.31434537,0.393007341,0.044666882,0.118493039,3
r156,0.327694758,0.410824755,0.033796147,0.070824982,3
r157,0.316753136,0.43374727,0.054407491,0.122989004,3
r158,0.363790934,0.399353407,0.07028307,0.097313255,3
r159,0.320207316,0.416928682,0.0669196,0.08125237,3
r160,0.367041926,0.427512185,0.069395114,0.094225665,3
r161,0.28582807,0.392270834,0.066731245,0.052651536,3
r162,0.322401736,0.413518554,0.049913895,0.105980174,3
r163,0.291456351,0.358351161,0.052793026,0.031038405,3
r164,0.356384766,0.443069632,0.073942525,0.093006879,3
r165,0.31105374,0.404569491,0.071789904,0.094767347,3
r166,0.40206121,0.395620427,0.081584329,0.082227398,3
r167,0.304653349,0.407676944,0.060676999,0.054628677,3
r168,0.365396111,0.404730917,0.047411473,0.062618493,3
r169,0.355937755,0.389213826,0.072973846,0.127159959,3
r170,0.354159868,0.389274361,0.121972877,0.092058935,3
r171,0.276644017,0.35415408,0.072354967,0.019581821,3
r172,0.323996754,0.386237531,0.07604133,0.111776177,3
r173,0.300904548,0.368066998,0.059789043,0.093711067,3
r174,0.37230447,0.460453212,0.069395114,0.119793077,3
r175,0.345138364,0.38870937,0.090114089,0.05051189,3
r176,0.369927182,0.439538434,0.03207405,0.118303451,3
r177,0.363404878,0.423456352,0.087530944,0.071502085,3
r178,0.333881803,0.363668135,0.061538048,0,3
r179,0.301046779,0.376693209,0.099612528,0.109392774,3
r180,0.289495596,0.373081299,0.044720697,0.102973837,3
r181,0.385013819,0.365373199,0.03724034,0.100780023,3
r182,0.362896911,0.384572824,0.058255301,0.054114078,3
r183,0.321091179,0.403267992,0.085808847,0.079112724,3
r184,0.33470471,0.427522274,0.056075772,0.114457505,3
r185,0.375606259,0.36735067,0.101280809,0.096717404,3
r186,0.299736223,0.405659117,0.057690238,0.060478847,3
r187,0.403249855,0.376632674,0.083548595,0.082660744,3
r188,0.302956737,0.428954931,0.082122484,0.068251991,3
r189,0.30040674,0.385289153,0.066785061,0.074887601,3
r190,0.293894596,0.39489401,0.048407061,0.110042793,3
r191,0.343939561,0.341007937,0.098590033,0.082091978,3
r192,0.331281009,0.367148887,0.08734259,0.069795786,3
r193,0.363577587,0.388840528,0.036702185,0.092031851,3
r194,0.356049508,0.383069543,0.112770423,0.081198202,3
r195,0.380147489,0.412146431,0.018055107,0.057282921,3
r196,0.3217109,0.426785767,0.066650522,0.072558366,3
r197,0.313217682,0.38112234,0.065439673,0.015627539,3
r198,0.301900164,0.376652853,0.074534496,0.052651536,3
r199,0.38045227,0.412005183,0.101253902,0.051811928,3
r200,0.348521428,0.411591529,0.139086212,0.078191864,3
r201,0.259403597,0.406476337,0.080777096,0.133524728,3
r202,0.390093494,0.364011166,0.123533527,0.053382807,3
r203,0.321832812,0.427300313,0.042083737,0.088700504,3
r204,0.362541333,0.408241936,0.103971585,0.084448296,3
r205,0.313207523,0.402703,0.035814229,0.073560479,3
r206,0.297714512,0.370952491,0.067592294,0.045447159,3
r207,0.30760972,0.389294539,0.091620923,0.023563187,3
r208,0.38421123,0.375462335,0.048460876,0.150912735,3
r209,0.330072046,0.378337738,0.095011301,0.064189372,3
r210,0.345453304,0.430084914,0.101738241,0.059828828,3
r211,0.382341909,0.425030257,0.052819933,0.054493256,3
r212,0.342212471,0.377591142,0.073296739,0.06318726,3
r213,0.349029396,0.396427558,0.105828221,0.1011592,3
r214,0.355490743,0.494534312,0.089656657,0.057824603,3
r215,0.308808523,0.402279257,0.052443225,0.103678024,3
r216,0.304246975,0.416545294,0.125282531,0.129678782,3
r217,0.318967875,0.452815736,0.017570767,0.059693408,3
r218,0.307304939,0.355052014,0.089037778,0.10319051,3
r219,0.439955591,0.403732092,0.108868798,0.081739884,3
r220,0.30353582,0.43001429,0.115111398,0.05760793,3
r221,0.323824045,0.381616707,0.05298138,0.085856671,3
r222,0.381722189,0.412035451,0.073754171,0.082850333,3
r223,0.398027948,0.382686156,0.069879453,0.056145388,3
r224,0.319394568,0.367027817,0.129184157,0.080656519,3
r225,0.344051314,0.393340283,0.126170488,0.068793673,3
r226,0.376632354,0.390797821,0.09899365,0.110015709,3
r227,0.33658419,0.435976969,0.118663222,0.033259303,3
r228,0.303932035,0.40072553,0.045178129,0.105248903,3
r229,0.318368473,0.396548628,0.084705629,0.06811657,3
r230,0.351091744,0.344428154,0.076821655,0.077785602,3
r231,0.348054098,0.449102935,0.092777957,0.121959807,3
r232,0.289414322,0.42056077,0.05537617,0.102025892,3
r233,0.264249608,0.423970898,0.079270262,0.100617518,3
r234,0.351792739,0.414537556,0.050075342,0.114295,3
r235,0.34473199,0.354890587,0.088203638,0.113509561,3
